pathway	external_id	source	hgnc_symbol_ids
CD28 dependent Vav1 pathway	R-HSA-389359	Reactome	CD28,PAK1,RAC1,VAV1,CD80,FYN,CD86,GRB2,CDC42,LCK,PAK2,PAK3
CD28 co-stimulation	R-HSA-389356	Reactome	AKT1,AKT2,AKT3,TRIB3,RICTOR,YES1,MAP3K8,THEM4,CD80,FYN,PRR5,CD86,MAPKAP1,GRAP2,PIK3R3,PIK3R2,PIK3R1,LYN,SRC,CD28,RAC1,MTOR,MLST8,VAV1,PAK1,GRB2,MAP3K14,PIK3CA,PDPK1,CDC42,LCK,PAK2,PAK3
Regulation of thyroid hormone activity	R-HSA-350864	Reactome	DIO1,DIO2,DIO3
BMP2 signaling TGF-beta MV	None	INOH	TGFB1,TGFB2,TGFB3,ACVR1,SMAD9,ACVR1B,SMAD4,NODAL,SMAD6,SMAD7,SMAD1,SMAD2,SMAD3,BMPR1A,BMPR1B,BMP10,BMP15,SMARCA4,GDF9,STAT3,MAML3,MAML1,GDF3,GDF2,AMHR2,GDF7,GDF6,GDF5,INHBA,INHBB,INHBC,INHBE,SMAD5,ACVR2B,GDF11,GDF10,ACVR2A,TGFBR1,ACVRL1,BMP8B,BAMBI,MAML2,EP300,BMP7,BMP6,BMP5,BMP4,BMP3,BMP2,MSTN,BMPR2,ZNF423,WT1,INHA,CREBBP,TGFBR2
SUMOylation of RNA binding proteins	R-HSA-4570464	Reactome	NUP88,AAAS,NUP133,SUMO1,SUMO2,NUP85,NUP37,CBX8,CBX4,CBX2,NUP62,NOP58,NUP107,NDC1,NUP43,NUP188,HNRNPK,PHC1,PHC3,PHC2,NUP214,HNRNPC,NUP210,RANBP2,POM121,NUP98,NUP160,NUP93,BMI1,PCGF2,RAE1,NUPL2,SCMH1,SEH1L,UBE2I,COMMD3-BMI1,NUP50,NUP54,NUP58,NUP35,RING1,NUP153,NUP155,RNF2,NUP205,TPR
Josephin domain DUBs	R-HSA-5689877	Reactome	ATXN3L,RAD23B,RAD23A,RPS27A,PRKN,VCP,UBA52,UBB,UBC,JOSD1,JOSD2,ATXN3
t(4;14) translocations of FGFR3	R-HSA-2033515	Reactome	FGFR3
FGFR3 mutant receptor activation	R-HSA-2033514	Reactome	FGF16,FGFR3,FGF23,FGF20,FGF9,FGF8,FGF18,FGF5,FGF4,FGF17,FGF2,FGF1
Post-translational modification: synthesis of GPI-anchored proteins	R-HSA-163125	Reactome	PGAP1,CPM,RAET1G,RAET1L,PLET1,NTNG1,NTNG2,PRND,THY1,GP2,IZUMO1R,LYPD6B,ULBP2,PRSS21,LSAMP,XPNPEP2,PRSS41,CNTN3,GPLD1,MDGA1,MDGA2,CNTN5,CEACAM5,CEACAM7,BST1,OPCML,TECTA,TECTB,VNN2,VNN3,VNN1,SPACA4,OTOA,SPRN,MSLN,RTN4RL1,RTN4RL2,CD52,NRN1,LY6G6C,LY6G6D,TEX101,DPM3,DPM2,DPM1,ART3,LY6D,ART4,LY6K,LY6H,CD109,NTM,GPAA1,PSCA,MELTF,NRN1L,RECK,CNTN4,PLAUR,LY6E,FCGR3B,LYPD4,LYPD5,LYPD2,LYPD3,LYPD1,LYPD8,PIGA,PIGB,PIGC,PIGF,PIGG,PIGH,PIGK,PIGL,PIGM,PIGN,PIGO,PIGP,PIGQ,PIGS,PIGT,PIGU,PIGV,PIGW,PIGX,PIGY,PIGZ,ALPPL2,NEGR1,GPIHBP1,ALPI,FOLR2,ALPL
Post-translational protein modification	R-HSA-597592	Reactome	HIF3A,SSPO,HIST1H4A,UBE2Q2,HIST1H4F,HIST1H4E,HIST1H4D,HIST1H4K,HIST1H4J,HIST1H4I,HIST1H4H,HIST1H4L,PMM2,PMM1,PRND,HSPA8,NUP98,XPC,MUC2,MUC1,SP3,NUP93,MUC6,MUC4,RAB40C,RAB40B,RAB40A,TRAPPC9,PTRH2,COL7A1,TRAPPC1,TRAPPC3,TRAPPC2,TRAPPC5,TRAPPC4,EEF2KMT,APOA5,APOA1,APOA2,ATXN3L,FBXL13,GMDS,FBXL15,FBXL14,WSB2,FBXL16,FBXL19,FBXL18,THSD4,THSD1,CHST8,CHST4,PSMD14,PSMD11,PSMD10,PSMD13,PSMD12,GANAB,NUP133,SMAD4,SMAD7,SMAD1,SMAD2,SMAD3,ARF3,ARF1,ARF5,ARF4,SERPIND1,TUBB2B,ART3,ART4,SAR1B,NFRKB,FAM20A,FAM20C,USP17L30,METTL22,SPP1,SPP2,NRN1L,IFIH1,ACTR10,EEF1A1,SBSPON,RAB2A,RAB2B,MUC7,GCNT7,FPGT,GCNT1,SEM1,RAB20,RAB21,RAB23,RAB24,RAB25,RAB26,RAB29,CALR,CALU,ACTR1A,CFP,RPN1,TRIM13,ASB2,ASB3,ASB1,ASB6,ASB7,ASB4,ASB5,ASB8,ASB9,UFD1,CHM,UBE2R2,RAB27A,RAB27B,APP,RNF103,APC,MAVS,XPNPEP2,NUP88,COPS8,GGCX,COPS2,COPS3,COPS6,NUP85,COPS4,COPS5,MDGA1,MDGA2,ITIH2,IGFBP3,IGFBP1,IGFBP7,IGFBP4,IGFBP5,AFP,PROZ,SHISA5,PIGT,MSLN,PROC,FBXL21,FBXL22,GAS6,FBXW12,HIST1H4C,USP17L1,MAGT1,AREG,BET1,HIST1H4B,FBXW8,FBXW9,FBXW2,FBXW4,FBXW5,FBXW7,TGFBR2,TGFBR1,DPAGT1,NUP107,YKT6,ASGR1,ASGR2,FOXL2,CST3,YOD1,BABAM1,BABAM2,ST6GAL2,KTN1,ST6GAL1,OTUB1,OTUB2,AXIN2,AXIN1,ST3GAL3,ST3GAL2,ST3GAL1,ST3GAL6,ST3GAL5,ST3GAL4,VCP,DPH1,DPH2,DPH3,DPH5,DPH6,DPH7,DCAF7,DCAF6,DCAF5,DCAF4,DCAF8,DYNLL1,DYNLL2,MUC5AC,PLET1,JOSD2,CALM1,NDC1,FBXL12,CUL9,CUL5,CUL7,CUL1,CUL2,CUL3,TRIM24,PRMT3,TTL,BGLAP,LYPD6B,ARCN1,SEH1L,DNAJC24,KAT2B,KAT2A,SEC16A,SEC16B,USP49,CDK1,USP44,USP47,USP42,PPP6C,RNF135,RNF139,B4GAT1,USP8,AGBL5,AGBL4,AGBL3,AGBL2,AGBL1,ADAMTS10,ADAMTS13,ALG10B,ARRB2,ADAMTS14,ADAMTS17,ADAMTS16,VDAC3,ADAMTS18,VDAC1,LY6G6C,LY6G6D,PSMA2,PSMA3,PSMA1,PSMA6,PSMA7,OBSL1,PSMA5,C3,PSMA8,HIST2H2AA3,HIST2H2AA4,GALNTL5,FBXO44,GALNTL6,FBXO41,FBXO40,LGALS1,CP,NUP50,NUP54,TSTA3,NUP58,TDG,ADRB2,PLAUR,FCGR3B,TOP1,MPDU1,FOXO4,PEX10,PEX13,PEX12,PEX14,GCNT4,LYPD4,HIST4H4,LYPD2,LYPD3,GCNT3,LYPD1,LYPD8,TGOLN2,COG1,PIGA,PIGB,PIGC,PIGF,PIGG,PIGH,PIGK,PIGL,PIGM,PIGN,PIGO,PIGP,PIGQ,PIGS,USP17L8,PIGU,PIGV,PIGW,PIGX,PIGY,PIGZ,ALPI,ALPL,DOLK,CANX,PTP4A2,BMP4,MYSM1,NANP,NUCB1,SOCS5,SOCS6,SOCS3,SOCS2,MBTPS1,CCNF,ULBP2,CHD3,FN3K,RCN1,CDC25A,UAP1,RNF40,DCUN1D1,DCUN1D2,DCUN1D3,DCUN1D4,DYNC1LI1,DYNC1LI2,RHOA,ANKRD28,MPI,KLHL42,KLHL41,RNF128,LMAN1,RNF123,DDA1,KDM1B,SMC5,MUC5B,HIST2H2AB,NEURL2,SRD5A3,SIAH2,AMFR,USO1,COMMD3-BMI1,B3GALNT2,PIAS2,PIAS3,PIAS1,PIAS4,PSMB8,PSMB7,PSMB6,PSMB5,PSMB4,PSMB3,PSMB2,PSMB1,HIST1H2AM,HIST1H2AL,HIST1H2AI,HIST1H2AH,HIST1H2AK,HIST1H2AJ,HIST1H2AE,HIST1H2AD,HIST1H2AG,HIST1H2AA,HIST1H2AC,HIST1H2AB,NUP43,ADRM1,KBTBD7,TRAF2,TRAF3,TRAF6,NUP160,RTF1,NICN1,TAB1,BAP1,MFGE8,SUMO1,SUMO3,SUMO2,BPIFB2,COMMD8,COMMD9,UBE2J2,CDC73,COMMD2,COMMD3,COMMD1,COMMD6,COMMD7,COMMD4,COMMD5,LHB,RAET1L,TUBB4B,TUBB4A,CAPZB,ANO8,HSP90B1,TMEM132A,LEO1,WDR48,CETN2,TBC1D20,SENP8,SENP5,SENP2,SENP1,NOTUM,RING1,DNAJC3,GOSR2,GFPT1,GFPT2,GOSR1,DAG1,NRN1,PRKDC,CISH,DDB2,DDB1,CAPZA3,CAPZA2,CAPZA1,RAB33A,RAB33B,SLC17A5,LMO7,RNF181,MCRS1,HIST2H4B,HIST2H4A,DDX17,SELENOS,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,MDC1,FBN1,STS,TFG,BTRC,NUP35,CTSZ,NUP37,FUCA1,FUCA2,FUOM,SPTB,LRRC41,MARCH6,IKBKG,LRRC49,B3GNT4,B3GNT5,B3GNT6,B3GNT7,B3GNT2,B3GNT3,B3GNT8,B3GNT9,CDKN2A,BARD1,IZUMO1R,EDEM2,TPR,HRC,FN1,UBA52,UBE2E4P,AMELX,ADAMTSL2,ADAMTSL3,ADAMTSL1,ADAMTSL4,ADAMTSL5,TULP4,CEACAM5,CEACAM7,F10,ICMT,EPAS1,SERPINA10,PSMB11,PSMB10,ELOB,ELOC,SKP2,SKP1,AMDHD2,TTLL13P,KNG1,TRAPPC6A,TRAPPC6B,NSMCE1,NSMCE2,NSMCE3,TAF9B,RNF146,PRKN,MUC3A,CNIH3,MUC3B,NSMCE4A,COP1,FUT3,NANS,FEM1B,FEM1C,FEM1A,MATN3,COPA,COPE,KBTBD13,METTL21A,LMAN2,AGTPBP1,HIST2H2AC,ALPPL2,GPIHBP1,SAE1,MUL1,DDOST,RAET1G,FBXO10,FBXO11,RPN2,FBXO15,TMED10,CNIH1,MAP3K7,NUP214,TPGS2,TPGS1,NUP210,CTSA,CTSC,AAAS,HIST3H2BB,PRSS21,PRSS23,CNIH2,CLSPN,PNPLA2,PSMB9,VGF,TUBB3,UBA6,PAX6-AS1,UBA2,TRRAP,CCP110,UBA1,EEF1AKMT2,EEF1AKMT1,UBE2I,UBE2H,UBE2K,UBE2M,UBE2N,UBE2A,ST8SIA6,ST8SIA5,ST8SIA4,ST8SIA3,ST8SIA2,ST8SIA1,UBE2F,UBE2Z,HLTF,UBE2T,UBE2W,UBA3,THSD7B,THSD7A,RAB22A,VCPIP1,PENK,WAC,TP53,RAB9A,DCAF13,RAB9B,IL6,RIPK2,GPAA1,STX17,MELTF,RECK,UBE2B,BIRC5,BIRC3,BIRC2,HIST2H2BF,HIST2H2BE,GNE,SPTBN5,SPTBN4,DAD1,SPTBN2,SPTBN1,TFAP2A,TFAP2C,TFAP2B,NSF,PCNA,UBE2S,ENGASE,RPA1,SP100,DHDDS,ZRANB1,TIMP1,MUC20,MUC21,PHC1,PHC3,PHC2,WSB1,VWA1,FBXL8,FBXL3,FBXL5,FBXL4,FBXL7,CTR9,RNF7,RNF5,RNF2,NUP205,FOXK2,FOXK1,HLA-A,NFKBIA,INO80,TOMM20,NGLY1,TMEM115,SLC35A1,UBXN7,TOP2B,UBXN1,TOP2A,LSAMP,ABRAXAS2,ABRAXAS1,HIST1H2BD,HIST1H2BE,HIST1H2BF,HIST1H2BG,HIST1H2BA,HIST1H2BB,HIST1H2BC,HIST1H2BL,HIST1H2BM,HIST1H2BN,HIST1H2BO,HIST1H2BH,HIST1H2BI,HIST1H2BJ,HIST1H2BK,SDC2,TNFAIP3,CDC20,NUP153,MAN1C1,NUP155,ACTR8,ACTR5,RAB8B,RAB8A,SYVN1,OTULIN,GLB1,KCTD7,KCTD6,CNTN5,ADAM10,BMP15,SERPINA1,MEPE,HCFC1,RAD21,UMOD,USP12,USP13,USP10,USP11,USP16,USP14,USP15,USP18,USP19,BCL10,RNF168,AMTN,SCFD1,PCSK9,SCG3,SCG2,OTUD7A,OTUD7B,NTNG1,NTNG2,CTAGE5,NAPG,NAPB,NAPA,THY1,MUC19,MUC17,MUC16,MUC15,MUC13,MUC12,NPL,WDTC1,PTEN,EIF5A2,USP17L3,USP17L2,FBXW10,FBXW11,USP17L5,USP17L4,QSOX1,UBE2D2,UBE2D3,UBE2D1,GPLD1,APOE,APOB,TADA2B,B3GLCT,TECTA,TECTB,TMEM129,BLM,FBXO30,FBXO31,FBXO32,ATXN7,ATXN3,OTUD5,SCMH1,OTUD3,SPSB3,SPSB2,SPSB1,SPSB4,NEDD8,SMC3,CDC34,SMC6,ALG10,ALG11,ALG12,ALG13,ALG14,B4GALNT2,AHSG,CCNA2,CCNA1,DYNC1I1,DYNC1I2,BMI1,IL33,ARSD,ARSE,ARSF,ARSG,ARSA,ARSB,OGT,ARSH,ARSI,ARSJ,ARSK,ANK1,ANK2,ANK3,MGAT4A,MGAT4C,MGAT4B,EEF2,FUT8,TUSC3,EVA1A,RAD18,USP28,USP26,USP25,USP24,USP22,USP21,USP20,ADAMTS5,ADAMTS4,ADAMTS7,ADAMTS6,ADAMTS1,ADAMTS3,ADAMTS2,ADAMTS9,ADAMTS8,CDH2,RAB5A,RAB5C,RAB5B,SEC24D,SEC24A,SEC24C,SEC24B,CSF1,CYLD,EID3,ACTB,PROS1,CNTN3,ARFGAP2,ARFGAP3,CNTN4,ARFGAP1,LAMB1,LAMB2,COPZ1,DDX58,COPZ2,RUVBL1,B3GNTL1,TNKS2,DHPS,VNN2,VNN3,VNN1,UBE2E1,UBE2E3,NUP62,CCDC8,SEMA5B,SEMA5A,FBXO22,FBXO21,FBXO27,NAE1,SLC35C1,SATB2,SATB1,STX5,MUCL1,KEAP1,RANBP2,TGFB1,ETFB,UIMC1,NOP58,NOD1,NOD2,MAT2B,MGAT1,MGAT2,MGAT3,MGAT5,DYNC1H1,CHST10,CUL4A,CUL4B,TRAPPC2L,RAB4B,NUDT14,RAB4A,TRAPPC2B,SERPINC1,BRCA1,TNIP2,TNIP3,TNIP1,USP30,USP33,USP34,USP37,RNF185,RBBP7,RBBP5,RAB44,RAB42,RAB43,RAB41,RBX1,GBF1,GRIA1,ENAM,XRCC4,SMURF2,POM121,SEC13,PARP1,LAMC1,RWDD3,ESR1,FGF23,YY1,MEN1,FBXO2,FBXO4,FBXO6,FBXO7,KCNA6,FBXO9,CSNK1D,UGGT2,UGGT1,UCHL5,TOMM70,UCHL1,UCHL3,PREB,INS,STAM2,NUP188,COPG2,COPG1,RENBP,TP53BP1,PPP6R3,PPP6R1,DOLPP1,KLHL20,CHML,A4GNT,FSTL3,FSTL1,MYC,COG8,COG3,COG2,P4HB,COG7,COG6,COG5,COG4,KLHL5,KLHL2,KLHL3,KLHL9,PCGF2,UBD,TAF10,UBB,UBC,KDELR2,KDELR3,STC2,KDELR1,CFTR,MANEA,FBXO17,KBTBD6,ASXL1,ASXL2,KBTBD8,CMAS,SMC1A,RAB7B,RAB7A,GNPNAT1,MOGS,PEX2,PEX5,POMGNT1,POMGNT2,HIST3H2A,STAMBP,DCUN1D5,SEL1L,RNF152,POMK,CAMKMT,RNF144A,CCDC22,RIPK1,VHL,DCAF11,DCAF10,DCAF17,DCAF16,ETFBKMT,C1GALT1,UBE2G2,UBE2G1,TF,VCPKMT,RRAGA,AR,TNC,NAGK,PGAP1,CPM,SEC23IP,FKBP8,WDR5,WRN,DMP1,GATA3,TNKS,DTL,ALB,RPS27A,RAB6A,RAB6B,C4A,C4B,OPCML,GPS1,BRCC3,PGM3,LRR1,KLHL25,KLHL21,MIA3,KLHL22,MIA2,SPTA1,PRKCSH,POLB,DCTN2,DCTN3,DCTN1,DCTN6,DCTN4,DCTN5,HIC1,TFPT,NUS1,CHRDL1,MVD,MXRA8,UBE2V2,RNF20,F2,WDR61,F5,POC1B-GALNT4,F7,F8,F9,C1GALT1C1,NTM,RFT1,PSMD9,PSMD8,PSMD5,PSMD4,PSMD7,PSMD6,PSMD1,SPARCL1,PSMD3,PSMD2,MITF,RAE1,TRIM25,APOL1,TTLL5,SPON2,TTLL7,TTLL6,CYR61,LTBP1,TTLL2,TTLL9,HGS,MCFD2,ST6GALNAC5,ST6GALNAC4,COPS7B,ST6GALNAC2,ST6GALNAC1,COPS7A,BTBD6,BTBD1,RABGGTB,MBD6,LMAN1L,MAN1B1,TUBA3C,TUBA3E,TUBA3D,FGG,FGA,LYPD5,WFS1,SNX3,ALG8,ALG9,TTLL4,ALG2,SPTAN1,ALG1,ALG6,SPON1,SUDS3,TTLL1,STAM,SHPRH,FUK,TTLL3,RAB11A,DERL1,DERL2,RAB11B,TTLL8,GALNT8,GALNT9,GALNT4,GALNT5,GALNT6,GALNT7,TUBB2A,GALNT1,GALNT2,GALNT3,USP17L22,HDAC1,HDAC2,HDAC4,HDAC7,USP17L24,CBX8,CBX5,CBX4,CBX2,ZBTB16,NLRP3,ST6GALNAC3,TEX101,RAB19,RAB18,TRAPPC10,WDR20,RAB10,RAB13,RAB12,RAB15,RAB14,RAB17,KLHL11,KLHL13,RAB1A,PAF1,RAB1B,GMPPA,GMPPB,HIF1A,JOSD1,EP300,CD109,RAD52,NEU4,RCE1,NEU1,NEU2,NEU3,ERCC8,USP2,USP3,USP4,USP5,USP7,FN3KRP,MBD5,FBXL20,RABGGTA,SUZ12,LMAN2L,PSME4,PSME2,PSME3,PSME1,GOLGB1,MLEC,FURIN,GP2,NUPL2,MDM2,MDM4,MAN1A1,MAN1A2,BST1,KIN,COPB1,COPB2,GORASP1,EIF5A,SUMF2,SUMF1,B4GALT1,B4GALT3,B4GALT2,B4GALT5,B4GALT4,B4GALT6,BECN1,TUBB8,TUBB6,LARGE2,MAN2A2,MAN2A1,TUBB1,HERC2,UBE2C,SPACA4,OTOA,USP17L17,SPRN,USP17L15,USP17L13,USP17L12,USP17L11,USP17L10,USP17L19,USP17L18,DOHH,RHOT1,POFUT2,SEC23A,DPM3,DPM2,DPM1,ZBED1,LY6E,LY6D,LY6K,LY6H,LARGE1,GALNT16,GALNT17,GALNT14,GALNT15,GALNT12,GALNT13,GALNT10,GALNT11,GALNT18,PSCA,USP9X,GAN,AMBN,INO80D,INO80E,INO80B,INO80C,CAND1,COMMD10,CKAP4,ASB10,ASB11,ASB12,ASB13,ASB14,ASB15,ASB16,ASB17,ASB18,PSMF1,APLP2,GOLGA2,NEGR1,ADAMTS20,L3MBTL2,ADAMTS15,RPS2,PRSS41,ARRB1,ADAMTS19,UBE2L3,VDAC2,TGFA,TUBA1C,TUBA1B,TUBA1A,THBS2,THBS1,BET1L,OS9,STAG2,ST6GALNAC6,STAG1,STT3A,RAB3D,POMT1,POMT2,RTN4RL1,RTN4RL2,RAD23B,RAD23A,IDE,TMED7,USP17L28,USP17L29,TMED3,TMED2,CGA,USP17L20,USP17L21,USP17L26,USP17L27,TMED9,USP17L25,HNRNPK,ALG3,PML,HNRNPC,PSMA4,NUB1,GOLM1,ALG5,ADAMTS12,TADA3,CD52,RAB39B,RAB39A,CD55,CHGB,CD59,VCAN,SEC31A,RAB37,RAB36,RAB35,RAB34,RAB32,RAB31,RAB30,ANKRD9,RAB38,TTLL11,TTLL10,TTLL12,MTA1,PDIA6,PDIA3,GPC3,RAB3C,RAB3B,RAB3A,SEC22C,SEC22B,SEC22A,ACTL6A,FOLR1,FOLR2
isoleucine degradation	ILEUDEG-PWY	HumanCyc	HSD17B10,HADHA,ACAT1,DLD,BCAT2,BCAT1,ECHS1,ACAT2,BCKDHB,ACADSB,BCKDHA,DBT
SUMO E3 ligases SUMOylate target proteins	R-HSA-3108232	Reactome	HIST1H4C,HIST1H4B,HIST1H4A,HIST1H4F,HIST1H4E,HIST1H4D,SUMO1,HIST1H4J,SUMO3,SUMO2,AAAS,HIST1H4L,NUP133,NDC1,HIST1H4K,PHC1,PHC3,PHC2,NUP214,NUP210,HIST1H4I,BRCA1,CDKN2A,NUP98,WRN,SP3,NUP93,HIST1H4H,RAE1,NUPL2,MDM2,PCGF2,L3MBTL2,EID3,TOP2A,RNF2,NUP205,NUP88,SEH1L,NUP85,XRCC4,CHD3,CETN2,TOP2B,RAD52,SMC1A,POM121,PIAS4,STAG2,STAG1,PARP1,BLM,HERC2,SCMH1,UBE2I,TP53,RING1,NUP153,NUP155,HDAC1,HDAC2,HDAC4,HDAC7,CBX8,CBX5,CBX4,CBX2,NUP62,HIC1,SMC3,SMC5,SMC6,HNRNPK,PML,HNRNPC,RANBP2,ZBED1,NUP107,FOXL2,SATB2,SATB1,COMMD3-BMI1,NUP50,NUP54,NUP58,TDG,PIAS2,PIAS3,PIAS1,NSMCE1,NSMCE2,NSMCE3,NUP35,TOP1,MITF,HIST2H4B,HIST2H4A,DDX17,HIST4H4,NSMCE4A,NOP58,TFAP2A,TFAP2C,TFAP2B,NUP43,NUP188,XPC,SUZ12,MTA1,PCNA,RAD21,NUP160,MDC1,BMI1,TP53BP1,RNF168,RPA1,NUP37,SP100,TPR
guanosine deoxyribonucleotides <i>de novo</i> biosynthesis	PWY-7226	HumanCyc	NME4,NME5,NME6,NME7,NME1,NME2,NME3,NME1-NME2,RRM2B,RRM2,RRM1,NME2P1
Collagen degradation	R-HSA-1442490	Reactome	MMP14,MMP15,ELANE,MMP10,MMP11,MMP12,MMP13,ADAM10,PRSS2,ADAM17,CTSL,FURIN,COL26A1,PHYKPL,CTSK,COL25A1,COL18A1,CTSB,COL9A2,COL9A3,TMPRSS6,COL9A1,COL23A1,COL16A1,MMP20,COL17A1,COL14A1,ADAM9,MMP8,MMP9,MMP7,MMP2,MMP3,COL12A1,MMP1
Thromboxane signalling through TP receptor	R-HSA-428930	Reactome	GNG3,GNG10,GNG11,GNG12,GNG13,GNG5,GNG4,GNA13,TBXA2R,GNB5,GNB4,GNB1,GNB3,GNB2,GNAQ,GNG7,GNA14,GNA15,GNG2,GNGT2,GNGT1,GNA11,GNG8
Arachidonic acid metabolism	R-HSA-2142753	Reactome	CYP2J2,PTGS2,PTGS1,FAM213B,CYP4B1,CYP4F8,ALOX15,ALOX5AP,ALOX12,EPHX2,FAAH2,LTA4H,PTGDS,CYP4F2,CYP4F3,MAPKAPK2,DPEP2,DPEP3,HPGD,CYP4F11,CBR1,DPEP1,LTC4S,CYP2U1,HPGDS,CYP4A22,AKR1C3,ALOX12B,CYP1B1,TBXAS1,CYP1A1,PTGES,ALOX5,PTGR1,PTGR2,GGT2,GGT1,PTGIS,GGT5,FAAH,PLA2G4A,SETD4,CYP2C9,CYP4F22,CYP1A2,CYP4A11,CYP2C8,AWAT1,CYP8B1,PON1,PON3,PON2,GPX1,PTGES3,GPX2,CYP2C19,GPX4,PTGES2,ALOXE3,ALOX15B,ABCC1
TRAF6 mediated NF-kB activation	R-HSA-933542	Reactome	IFIH1,NFKBIB,HMGB1,NFKBIA,AGER,SAA1,IKBKB,IKBKG,S100A12,S100B,DDX58,MAP3K1,RNF135,NFKB1,RELA,MYD88,DHX9,TRAF2,TRAF6,TRIM25,CHUK,NFKB2,NKIRAS2,NKIRAS1,APP,MAVS
DDX58/IFIH1-mediated induction of interferon-alpha/beta	R-HSA-168928	Reactome	IFIH1,ITCH,NFKBIB,HMGB1,NFKBIA,AGER,SAA1,RIPK1,IKBKG,IKBKE,NLRC5,PIN1,S100A12,NLRX1,DHX36,S100B,TKFC,DDX58,TANK,TBK1,MAP3K1,PCBP2,RNF135,IKBKB,ATG5,ISG15,RELA,MYD88,OTUD5,DHX9,TRAF2,TRAF3,TRAF6,SIKE1,TRIM25,FADD,CHUK,UBA7,ATG12,CASP8,HERC5,CASP10,NFKB1,UBE2L6,EP300,NFKB2,IRF3,NKIRAS2,NKIRAS1,IRF7,DHX58,APP,TNFAIP3,TAX1BP1,MAVS,CREBBP
NEP/NS2 Interacts with the Cellular Export Machinery	R-HSA-168333	Reactome	NUP88,AAAS,NUP133,NUP85,XPO1,NUP62,SEH1L,RAN,NUP107,NDC1,NUP43,NUP188,NUP214,NUP210,RANBP2,POM121,NUP98,NUP160,NUP93,RAE1,NUPL2,NUP50,NUP54,NUP58,NUP35,NUP37,NUP153,NUP155,NUP205,TPR
Export of Viral Ribonucleoproteins from Nucleus	R-HSA-168274	Reactome	NUP88,AAAS,NUP133,NUP85,HSPA1A,XPO1,NUP62,SEH1L,RAN,NUP107,NDC1,NUP43,NUP188,NUP214,NUP210,RANBP2,POM121,NUP98,NUP160,NUP93,RAE1,NUPL2,NUP50,NUP54,NUP58,NUP35,NUP37,NUP153,NUP155,NUP205,TPR
Reactions specific to the hybrid N-glycan synthesis pathway	R-HSA-975574	Reactome	MGAT3
VEGF	None	INOH	RYK,PRKAG1,PLK3,PRKAG2,IKBKB,AKT1,AKT2,AKT3,ARAF,IKBKG,IKBKE,TYK2,MAP3K7,MAP3K8,MAP3K9,GRK6,MAP3K3,GRK4,MAP3K1,GRK2,NTRK1,MAP3K5,PLK1,CSNK1D,CSNK1E,IRAK2,PRKG1,WEE1,IRAK1,MAP3K21,PRKAG3,IRAK4,IGF1R,CAMK2D,CAMK2G,MAP4K2,CAMK2A,CAMK2B,CSNK1G2,CSNK1G3,SH2D2A,CSNK1G1,FGFR4,FGFR2,FGFR3,FGFR1,MAPK14,SYK,GSK3A,PTK2B,PLCG1,KIT,ELK1,GFRA1,PAK4,PAK5,PAK6,CCNH,PAK1,PAK2,ACVR1B,MAPKAPK5,GSK3B,MAPKAPK3,MAPKAPK2,CDK1,PIK3CB,PRKACG,JAK2,JAK3,PIK3R1,PRKG2,BMPR2,NLK,CDC7,JAK1,ACVRL1,PRKAB2,CSK,PRKAB1,CDK7,CHUK,VEGFD,VEGFA,PRKCG,VEGFC,VEGFB,ITPR3,ITPR1,TGFBR1,RPS6KA1,RPS6KA2,RPS6KA3,CSNK1A1,RPS6KA6,MOS,BUB1B-PAK6,BMPR1A,MAP3K2,GRK7,CDK4,LCK,BTK,PDGFRB,PDGFRA,GRK5,PIK3CD,MKNK1,BMPR1B,GRK3,PRKAR2A,PRKAR2B,MAPK10,MAPK11,MAPK12,MAPK13,FLT4,RAF1,FLT1,TEC,RPS6KB1,RPS6KB2,MAPK3,MAPK1,MAPK7,MAPK8,MAPK9,KDR,TGFBR2,ACVR2B,MTOR,PRKAR1A,PRKAR1B,LTK,MNAT1,RIPK1,ALK,MAP2K2,MAP2K1,BAD,ITK,MET,CDK2,CDK3,PRKACA,CDK5,CDK6,PRKACB,CDK8,CDK9,MAP2K6,MAP4K3,PTK2,ACVR1,ACVR2A,EGFR,PRKAA2,PRKAA1,MAP2K3,PLCG2,INSR,RIPK2,MAP2K7,NGFR,MAP2K5,MAP2K4,AMHR2,FYN,ZAP70,PRKCI,PRKCH,PRKCA,PRKCB,PRKCE,PRKCD,SRC,PRKCZ,PIK3CA,PRKCQ,RIPK3,MAP3K10,MAP3K11,MAP3K12,MAP3K13,MAP3K14,BRAF,PDPK1
Activation of AKT2	R-HSA-165158	Reactome	PDPK1,AKT2,THEM4,TRIB3
PDE3B signalling	R-HSA-165160	Reactome	AKT2,PDE3B
PKB-mediated events	R-HSA-109703	Reactome	AKT2,PDE3B
PI3K Cascade	R-HSA-109704	Reactome	GAB1,AKT2,TRIB3,FGF5,THEM4,FGF3,PIK3CB,FRS2,FGF19,PDE3B,PIK3C3,PIK3R4,PIK3R2,PIK3R1,FGF18,FGF10,FGF17,FGF16,KLB,FGF9,FGF8,FGF7,FGF6,FGFR4,FGF4,FGFR2,FGFR3,FGF1,FGFR1,FGF2,PTPN11,IRS1,IRS2,KL,GRB2,PIK3CA,PDPK1,TLR9,FGF22,FGF23,FGF20
