gene,BF_hpaf,BF_patu,BF_aspc,BF_dld,BF_gbm,BF_hct,BF_hela,BF_rpe,panc.mean,nonpanc.mean,zPanc_vs_other
MTX3,-0.59,-0.42,0.25,-0.81,0.13,-0.72,-0.03,-0.07,-0.25,-0.3,0.18
MYOD1,-1.13,-0.99,-0.01,-0.52,-0.64,-0.85,-0.72,-0.76,-0.71,-0.7,0.18
NDUFAF5,2.48,0.27,1.12,0.86,3.87,1.32,-0.6,-0.22,1.29,1.05,0.18
NIN,-0.55,-0.65,-0.51,-0.6,0.07,-0.89,-0.7,-0.76,-0.57,-0.58,0.18
NR2C1,-0.26,-0.21,-0.95,0.25,-0.91,-0.72,-0.24,-0.83,-0.47,-0.49,0.18
OR10A6,0.38,0.37,0.87,0.55,0.43,0.36,0.19,0.4,0.54,0.39,0.18
OR11H4,-0.57,-0.13,-0.59,-0.24,-0.25,-0.59,-0.58,-0.61,-0.43,-0.45,0.18
OR4K2,0.29,0.08,0.16,0.24,0.07,0.27,-0.21,0,0.18,0.08,0.18
OR5D14,0.94,0.03,0.89,0.66,0.58,0.04,0.65,0.37,0.62,0.46,0.18
OR5W2,0.01,-0.19,0.26,-0.11,-0.23,0.08,0.14,-0.16,0.03,-0.05,0.18
PHF10,0.95,0.43,0.99,0.7,0.34,0.64,0.81,0.57,0.79,0.61,0.18
PINLYP,-0.54,-0.39,-1.29,-0.74,-1.1,-0.45,-0.74,-0.57,-0.74,-0.72,0.18
PITX1,0.55,-1.04,0.48,-0.47,0.11,-0.35,0.73,-0.45,-0.01,-0.08,0.18
PKMYT1,3.34,2.82,3.06,1.63,3.11,2.62,2.94,2.71,3.07,2.6,0.18
PLD1,-0.79,-1.06,-1.26,-0.3,-1.16,-1.08,-1.33,-1.05,-1.04,-0.98,0.18
PLXNA2,0.33,-0.19,0.22,0.13,0.3,-0.02,-0.92,0.65,0.12,0.03,0.18
PPP2R2D,0.23,-0.16,-0.22,-0.35,0.37,-0.37,-0.63,0.37,-0.05,-0.12,0.18
PRAMEF12,-0.31,0.48,0.54,0.88,-0.05,0.45,-0.16,-0.49,0.24,0.13,0.18
PRSS36,-0.91,-0.48,0.04,-0.3,-0.3,-1.2,-0.65,0.11,-0.45,-0.47,0.18
RAB7A,1.85,-0.43,1.57,-0.63,0.48,0.33,1.74,2.05,1,0.79,0.18
RASSF5,-0.57,-0.9,-0.38,-0.56,-0.32,-0.85,-0.38,-0.97,-0.62,-0.62,0.18
RBM11,0.09,0.76,-0.06,0.1,0.08,0.08,0.5,0,0.26,0.15,0.18
RORB,0.1,-0.87,-0.67,-0.05,-0.08,-0.66,-1.22,-0.46,-0.48,-0.49,0.18
RPL10L,0.71,0.65,0.33,0.6,0.37,0.44,0.26,0.4,0.56,0.41,0.18
SCLT1,0,0.46,0.9,0.2,0.12,0.36,0.42,0.48,0.46,0.32,0.18
SGCD,-0.91,-0.85,-0.58,-0.62,-0.52,-0.58,-0.94,-1.17,-0.78,-0.76,0.18
SLC39A8,0.22,0.14,-0.26,-0.03,0.24,-0.1,-0.34,0,0.04,-0.05,0.18
SOD2,1.94,2.28,2.67,2.01,3.28,3.25,0.97,0.1,2.3,1.92,0.18
SPACA7,-0.38,-0.42,-1.24,-0.67,-0.39,-0.42,-1.03,-0.85,-0.68,-0.67,0.18
SRSF12,-0.42,-0.27,0.22,-0.28,-0.57,0.08,-0.88,0.58,-0.16,-0.22,0.18
SSBP3,-1.07,-0.11,-0.27,-0.25,-0.16,-0.7,-0.82,-0.57,-0.48,-0.5,0.18
STAP1,0.47,-0.2,0.56,-0.12,-0.14,0.16,0.57,0.36,0.28,0.17,0.18
STK24,0.45,0.38,0.69,0.42,0.4,0.34,0.31,0.34,0.51,0.36,0.18
TCOF1,0.69,0.4,-0.21,-0.03,0.79,-0.32,-0.23,0.68,0.29,0.18,0.18
TFDP3,-0.07,-0.02,0.34,0.14,0.07,-0.13,-0.3,0.2,0.09,0,0.18
THAP9,-0.63,-1.01,-0.63,-0.98,-0.65,-0.39,-0.67,-0.97,-0.75,-0.73,0.18
TMEM129,-0.03,-0.66,0.05,0.44,0.01,-1.19,-0.18,-0.4,-0.21,-0.26,0.18
TMEM203,-0.21,0.39,0.3,-0.54,-0.01,0.38,0.4,0.06,0.16,0.06,0.18
TNFSF11,-0.38,-0.88,-1.06,-0.96,-0.86,-0.46,-1.23,-0.24,-0.77,-0.75,0.18
TNS1,-0.98,-0.07,-1.66,-0.38,-0.96,-0.68,-1.42,-0.89,-0.9,-0.86,0.18
TRAM2,0.67,-0.54,0.09,-0.45,-0.01,0.59,0,-0.18,0.07,-0.01,0.18
UBQLN2,-0.35,-0.94,0.15,-0.08,-0.49,-0.85,-0.67,0.05,-0.38,-0.41,0.18
USP29,0.07,-0.19,-0.51,0.05,-0.56,-0.07,-0.7,-0.02,-0.21,-0.26,0.18
VAT1,-0.38,-0.85,0.58,-0.32,-0.81,-0.22,0.24,-0.22,-0.22,-0.27,0.18
VSTM5,0.59,-0.78,0.31,0.09,-0.04,-0.48,0.3,-0.1,0.04,-0.05,0.18
WFDC2,0.22,-0.25,0.19,-0.18,-0.61,-0.42,1.13,-0.08,0.05,-0.03,0.18
XPNPEP1,-0.52,-0.15,-0.13,-0.48,-0.61,-0.04,-0.76,0.34,-0.27,-0.31,0.18
YBX3,-0.72,-0.13,-0.68,-0.25,-0.48,-0.43,-0.88,-0.58,-0.51,-0.52,0.18
YIPF5,0.26,0.56,0.74,0.85,0.41,0.25,0.14,0.21,0.52,0.37,0.18
ZNF625,-0.01,0.12,0.36,0.07,0.29,0.46,-0.48,-0.03,0.16,0.06,0.18
ZNF844,0.77,0.41,0.51,0.44,0.36,0.75,0.2,0.34,0.57,0.42,0.18
ZNF93,0.64,0.55,0.42,0.53,0.34,0.35,0.24,0.5,0.54,0.39,0.18
ADAM28,-0.93,-0.99,-0.11,-0.53,-1.06,-0.82,-0.14,-0.78,-0.68,-0.67,0.17
AMPH,-0.55,-0.84,0.71,-0.44,0.27,-0.16,-0.35,-0.67,-0.22,-0.27,0.17
ANK2,-1.15,-1.09,0.02,-0.98,-0.68,-0.5,-1.25,-0.19,-0.74,-0.72,0.17
AQP1,-0.73,-0.82,-0.34,-0.65,0.27,-0.95,-0.85,-0.94,-0.63,-0.62,0.17
ARHGAP30,-0.41,-0.79,-0.47,-0.77,-0.88,-0.66,0.18,-0.65,-0.56,-0.56,0.17
ASB14,-0.68,-0.66,-0.64,-0.98,-0.92,-0.16,-0.27,-0.93,-0.66,-0.65,0.17
ASPSCR1,-0.61,-0.99,-1.02,-0.68,-0.77,-0.21,-1.25,-1.26,-0.87,-0.84,0.17
ATP9A,-0.62,0.39,-0.64,-0.3,0.98,-0.62,-0.9,-0.78,-0.29,-0.32,0.17
AURKA,0.69,0.95,0.6,0.88,0.2,0.4,0.68,0.72,0.75,0.58,0.17
BCAT1,1.59,-0.83,-0.75,-0.54,0.58,-0.88,-0.46,0.94,0,-0.07,0.17
BEX1,-0.29,0.52,-0.45,-0.1,-0.07,-0.03,-0.16,-0.33,-0.07,-0.14,0.17
BMF,-0.45,-0.94,0.35,-0.57,-0.72,0.14,-0.46,-0.28,-0.35,-0.38,0.17
C14orf80,3.52,3.38,0.63,1.61,2.79,3.89,0.15,2.12,2.51,2.11,0.17
C5orf54,-0.16,-0.19,0.15,-0.19,-0.24,-0.25,0.12,-0.1,-0.07,-0.13,0.17
C9orf3,-1.04,-0.78,-0.88,-0.93,-0.73,-0.98,-0.73,-0.92,-0.9,-0.86,0.17
CAPZA1,0.53,0.37,0.5,0.45,0.34,0.34,0.2,0.34,0.47,0.33,0.17
CCDC39,-0.35,-0.16,-0.71,-0.35,-0.79,-0.21,-0.5,-0.28,-0.41,-0.43,0.17
CDR2,-0.76,-0.72,-0.4,-0.47,-0.92,-0.69,-0.52,-0.5,-0.63,-0.62,0.17
DACT1,-1.03,0.13,-0.57,-0.85,0.29,-0.37,-0.7,-0.88,-0.49,-0.5,0.17
DBX1,-0.57,-1.01,-0.83,-0.98,-0.55,-0.82,-0.71,-0.78,-0.8,-0.77,0.17
DCP1B,-0.67,-0.72,0.12,-0.88,-0.16,-0.45,-0.16,-0.57,-0.43,-0.44,0.17
DENND5A,-1.16,-0.45,-0.79,-0.88,-0.89,-0.27,-0.91,-0.88,-0.8,-0.77,0.17
DNAH7,-0.78,-0.74,-1.41,-0.97,-0.95,-1.1,-0.69,-0.91,-0.98,-0.92,0.17
DNAJB7,0.03,0.14,0.29,0.06,0.24,0.09,-0.2,0.11,0.15,0.06,0.17
ETV3L,0.59,0.32,-0.03,0.15,0.15,0.24,0.3,0.04,0.29,0.18,0.17
EXOSC10,1.78,1.9,1.5,1.49,1.61,1.94,0.65,1.46,1.72,1.43,0.17
FAM149A,-0.91,-0.39,-0.67,-0.96,-0.57,-1.12,-0.27,-0.3,-0.66,-0.65,0.17
FGFBP3,0.41,0.18,0.97,0.17,0.79,0.1,0.23,0.6,0.52,0.38,0.17
FITM1,0.14,-0.35,0.25,-0.23,-0.25,-0.25,0.33,0.1,0.01,-0.06,0.17
FLRT2,-0.12,0.27,-0.78,0.12,-0.67,-0.71,-0.21,0.18,-0.21,-0.26,0.17
FNDC8,0.98,-0.19,1.31,-0.11,0.14,0.68,0.86,1.12,0.7,0.54,0.17
GABRP,-0.42,-1.07,-1.17,-0.94,-0.83,-0.22,-0.99,-1.23,-0.88,-0.84,0.17
GNB2,1.64,0.6,-0.02,-0.11,-0.44,1.27,0.28,1.84,0.74,0.57,0.17
GRAP,0.86,0.79,0.29,0.75,0.66,0.37,0.31,0.38,0.65,0.49,0.17
GRID2IP,0.03,-0.77,0.04,-0.8,-0.06,0.08,0.04,-0.64,-0.23,-0.28,0.17
HADHB,-0.83,-0.06,-1.14,-0.62,-0.99,0.17,-1.07,-0.79,-0.68,-0.66,0.17
HHIPL2,-0.74,-0.13,-1.21,-0.27,-0.89,-0.21,-0.77,-1.23,-0.69,-0.67,0.17
IQCF2,-0.15,-0.14,0.37,-0.23,-0.28,-0.08,0.23,0.1,0.03,-0.05,0.17
KANK1,-1.05,-0.88,-0.46,-0.66,-0.21,-1.17,-1.12,-0.68,-0.8,-0.77,0.17
KIAA1324L,-0.18,-0.65,-0.65,-0.54,-0.95,0.34,-1.54,0.18,-0.49,-0.5,0.17
KLK14,-0.18,0.76,-0.96,-0.38,-0.66,-0.09,-0.1,0.29,-0.13,-0.19,0.17
LRRC8E,-0.88,-0.75,-0.82,-0.34,-0.63,-0.78,-1.19,-1,-0.82,-0.79,0.17
LSR,-0.12,-0.81,-0.41,-0.67,-0.53,-0.17,-0.83,-0.12,-0.44,-0.46,0.17
LY6K,-0.47,-0.25,-1.38,-0.8,-0.51,-0.97,0.19,-1.33,-0.7,-0.68,0.17
MAGEA1,0.38,0.49,0.63,0.39,0.34,0.33,0.25,0.51,0.5,0.36,0.17
MAN1B1,0.4,-0.68,-0.71,-0.73,-0.35,-0.84,0.2,-0.07,-0.33,-0.36,0.17
MANSC4,-0.95,-1.09,-0.67,-0.98,-0.68,-1.11,-0.92,-0.62,-0.91,-0.86,0.17
MFAP3,-0.8,-0.26,-0.43,-0.75,-0.8,-1.02,0.13,-0.1,-0.5,-0.51,0.17
MRPL4,4.44,2.68,1.85,3.96,2.9,3.69,1.38,0.72,2.99,2.53,0.17
MYL6,-0.45,0.63,-0.18,-0.71,0.99,0.13,-0.64,-0.13,0,-0.07,0.17
NMNAT2,-1.14,-0.6,-0.19,-0.71,-0.47,-0.94,-0.21,-0.85,-0.64,-0.63,0.17
NRARP,-0.31,0.43,1.18,-0.08,-0.12,-0.36,1.22,0.86,0.43,0.31,0.17
ODF1,-1.07,0.05,-0.63,-0.91,-0.13,-0.53,-0.61,-0.59,-0.55,-0.55,0.17
OMP,-1.17,-0.35,0.45,-0.06,-0.95,-0.76,0.48,-0.64,-0.36,-0.39,0.17
ONECUT1,-0.33,-0.31,-0.97,-0.65,-0.38,-0.04,-0.81,-0.82,-0.54,-0.54,0.17
OR1A2,0.76,0.37,0.52,0.42,0.46,0.37,0.42,0.36,0.55,0.41,0.17
PAQR9,-0.82,-0.51,-1.28,-0.68,-0.78,-0.87,-1.37,-0.45,-0.87,-0.83,0.17
PGAM5,-0.4,-1,-0.61,-0.66,-0.3,-0.88,-0.78,-0.67,-0.67,-0.66,0.17
PGF,0.49,-0.37,-1.31,-0.37,-0.76,-0.22,-0.03,-0.74,-0.4,-0.42,0.17
PLEKHS1,-0.41,-0.11,-0.83,-0.88,-0.08,-0.92,-0.72,0.26,-0.45,-0.47,0.17
PPAP2C,-0.4,-0.24,0.53,-0.49,0.44,-0.96,0.43,0.04,-0.04,-0.11,0.17
PPM1G,0.19,1.19,-0.65,-0.26,-0.59,-0.58,0.39,1.72,0.24,0.14,0.17
PRSS38,-1.19,-0.28,-0.83,-0.47,-0.94,-0.92,-1,-0.37,-0.76,-0.74,0.17
RHBDF1,0.38,-0.04,0.56,0.03,-0.67,0.14,0.04,1.4,0.3,0.19,0.17
RNF187,0.99,-0.03,1.06,0.89,-0.08,-0.07,1.3,0.51,0.67,0.51,0.17
RTP2,-0.14,0.02,0.29,0.12,0.3,-0.31,-0.01,-0.23,0.06,-0.03,0.17
SAMD9,0.13,-0.64,-0.54,-0.23,0.57,-0.65,-0.95,-0.64,-0.35,-0.38,0.17
SCHIP1,-0.32,-0.26,-0.51,-0.76,-0.9,-0.64,0.19,0.16,-0.36,-0.39,0.17
SEPT11,-1.24,-0.53,-0.98,-1.09,-1.07,-0.24,-1.15,-0.8,-0.92,-0.87,0.17
SERPIND1,-0.64,-0.28,-0.17,-0.42,0.18,-0.26,-0.79,-0.67,-0.37,-0.39,0.17
SIK1,-1.47,-0.53,-0.91,-0.97,-0.22,-1.16,-1.07,-1.17,-0.97,-0.92,0.17
SLC15A5,-1.31,-0.46,-0.66,-0.7,-1.21,0.21,-1.83,-0.37,-0.81,-0.78,0.17
SLC25A26,2.54,3.32,0.21,2.89,1.84,2.19,1.18,0.35,2.02,1.69,0.17
SLC26A1,-0.62,-0.35,-0.89,-0.9,-0.41,-0.39,-1.03,-0.34,-0.62,-0.62,0.17
SLC2A7,-0.23,-1.01,-0.44,-0.4,-0.27,-0.15,-0.85,-1.14,-0.56,-0.56,0.17
SOWAHC,-0.44,-0.27,-0.11,-0.41,-0.47,0.02,-0.05,-0.66,-0.28,-0.31,0.17
SPATA2L,-0.27,0.11,-0.62,-0.15,-0.54,-0.24,-0.38,-0.21,-0.26,-0.3,0.17
SPATS2,-0.34,-0.24,0.01,-0.61,-0.11,-0.25,-0.06,-0.17,-0.19,-0.24,0.17
TMX4,-0.51,-0.94,-0.64,-0.39,-0.88,-0.88,-0.95,-0.3,-0.7,-0.68,0.17
TRIM9,0.62,-0.09,-1.03,-0.56,0.2,0.06,0.32,-1.1,-0.17,-0.22,0.17
TXNDC8,0.02,0.04,0.46,0.4,0.01,0.11,-0.1,-0.05,0.17,0.08,0.17
USP40,-0.75,-0.61,-0.18,-0.13,-0.38,-0.67,-0.88,-0.53,-0.51,-0.52,0.17
WASF2,1.1,0.53,0.53,0.83,0.19,0.1,1.13,0.51,0.72,0.55,0.17
WDR25,2.44,1.73,1.8,2.11,0.6,2.11,1.16,2.31,1.99,1.66,0.17
WDR87,-0.12,0.77,-0.25,-0.04,-0.44,-0.12,0.86,-0.05,0.13,0.04,0.17
ZBTB7A,1.45,1.86,-1.14,0.53,1.46,1.31,-0.46,-0.07,0.72,0.55,0.17
ZFYVE28,-0.82,-0.5,-0.75,-0.69,-0.85,-0.9,-0.73,-0.21,-0.69,-0.68,0.17
ZNF317,-1.06,-0.9,-0.77,-0.53,-0.62,-0.94,-1.2,-1.05,-0.91,-0.87,0.17
ACAT1,-0.71,-0.68,-1.12,-1.02,-0.32,-0.49,-1.14,-1.01,-0.83,-0.8,0.16
ADAMTS20,-0.5,-0.55,-1.45,-0.82,-0.74,-0.54,-0.57,-1.31,-0.83,-0.8,0.16
ADH4,-0.86,-0.68,-0.61,-0.75,-0.48,-0.85,-0.84,-0.54,-0.72,-0.69,0.16
AMOT,-0.37,-1.04,-0.57,-0.96,-0.47,-0.81,-0.4,-0.56,-0.66,-0.64,0.16
ANKRD30B,-0.12,-0.18,-0.25,-0.23,-0.35,0.2,-0.52,-0.24,-0.18,-0.23,0.16
ATP2B2,-0.92,-0.89,-0.4,-0.49,-1.06,-0.64,-0.42,-0.95,-0.74,-0.71,0.16
BAG4,0.16,0,0.02,-0.06,-0.13,0.08,0.24,-0.21,0.06,-0.02,0.16
BIK,-0.11,-0.45,-0.45,-0.35,-0.49,0.09,-0.85,-0.2,-0.33,-0.36,0.16
C17orf107,-0.63,-0.88,-0.42,-0.29,-0.53,-0.78,-1.07,-0.48,-0.64,-0.63,0.16
C6orf106,0.45,0.47,0.62,0.54,0.3,0.68,0.06,0.32,0.52,0.38,0.16
C9orf117,-0.93,-0.79,0.6,-0.51,-0.53,-0.21,0.24,-0.97,-0.37,-0.4,0.16
CAPN1,-0.23,-0.56,-0.7,-0.67,-0.85,-0.39,0.22,-0.83,-0.5,-0.5,0.16
CCL21,0.25,0.24,0.3,0.17,0.21,0.44,0,-0.03,0.26,0.16,0.16
CD58,0.37,0.76,0.41,0.06,0.2,0.1,1.24,0.28,0.51,0.37,0.16
CEP128,-0.89,-0.93,0.21,0.25,-0.92,-0.61,-0.41,-0.99,-0.54,-0.54,0.16
CNN2,0.88,0.47,0.54,0.44,0.99,0.87,-0.28,0.36,0.63,0.48,0.16
COPS7B,0.37,-0.57,-0.26,-0.08,0.5,-0.91,-0.85,0.35,-0.15,-0.2,0.16
CRB2,0.15,0.38,-0.41,-0.02,0.11,-0.23,0.17,-0.19,0.04,-0.03,0.16
DNAJB12,0.68,0.02,-0.17,-0.71,0,0.44,0.25,0.45,0.18,0.09,0.16
DPM1,1.36,1.45,0.95,0.96,1.01,1.11,1.63,0.39,1.25,1.02,0.16
DSC1,-0.2,-0.58,-0.17,-0.42,-0.68,-0.69,0.86,-0.8,-0.32,-0.35,0.16
DUSP27,-0.25,-0.77,-1.54,-0.8,-0.54,-0.45,-0.94,-1.33,-0.85,-0.81,0.16
ERP29,0.51,0.37,0.67,0.47,0.43,0.33,0.28,0.39,0.52,0.38,0.16
FAM154B,-0.42,-0.47,0.75,-0.27,-0.2,-0.01,-0.36,0.3,-0.04,-0.11,0.16
FAM83C,-0.26,0.61,-0.03,-0.35,0.07,0.18,0.07,0.14,0.1,0.02,0.16
FDPS,0.51,0.53,-0.74,0.6,-0.44,-0.02,-0.25,0.2,0.1,0.02,0.16
FOXD3,-1.33,-0.79,-0.61,-1.01,-1.32,-0.5,-0.4,-1.08,-0.91,-0.86,0.16
FRMD1,-0.69,-1.13,-0.34,-0.03,-0.99,-0.62,-1.14,-0.72,-0.72,-0.7,0.16
FYCO1,-0.86,-0.81,0.56,-0.55,-0.32,-0.43,-0.24,-0.44,-0.37,-0.39,0.16
GDNF,0.52,-0.51,-0.29,0.34,-0.36,-1.25,1.21,-0.69,-0.1,-0.15,0.16
GJA8,-0.7,-0.76,-0.43,-0.53,-0.75,-0.85,-0.54,-0.44,-0.63,-0.62,0.16
GLT6D1,-0.64,-0.74,-0.14,-0.73,-0.61,0.21,-0.87,-0.56,-0.51,-0.51,0.16
GNPTG,-0.8,-1.09,-0.46,-0.72,-0.99,-0.39,-1.11,-0.57,-0.79,-0.75,0.16
GTPBP3,2.2,-0.62,0.41,0.84,1.38,0.18,0.04,0.1,0.66,0.51,0.16
HLTF,0.49,0.02,-0.48,-0.01,-0.04,-0.27,0.06,-0.03,0.01,-0.06,0.16
HOXA11,0.26,-0.46,-1.09,-0.6,0.21,-0.28,-0.43,-1.13,-0.43,-0.45,0.16
HTN1,0.41,0.38,0.63,0.4,0.34,0.4,0.22,0.34,0.47,0.34,0.16
IL2RG,-1.4,-0.62,-1.5,-0.93,-1.13,-0.68,-1.54,-1.18,-1.18,-1.1,0.16
INPP4A,-0.44,-0.54,-0.77,-0.93,-0.35,-0.17,-0.73,-0.7,-0.59,-0.58,0.16
INPP5D,-0.88,-0.17,-0.6,-0.72,0.05,-0.64,-0.99,-0.46,-0.55,-0.55,0.16
ITPR1,-0.9,-1.07,-0.9,-1.18,-0.83,-1.17,-0.06,-1.27,-0.96,-0.9,0.16
KIAA0101,-0.47,-0.52,-0.24,-0.65,-0.81,-0.41,0.01,-0.26,-0.41,-0.42,0.16
KLRG1,0.51,0.51,0.56,0.4,0.34,0.38,0.46,0.35,0.52,0.39,0.16
KRTAP13-1,-0.42,-0.21,-0.04,-0.2,-0.26,-0.25,-0.41,-0.2,-0.22,-0.26,0.16
LANCL3,-0.7,-0.03,-0.23,-0.88,-0.91,0.08,-0.18,0.16,-0.32,-0.35,0.16
LIPC,-0.34,-0.24,-0.27,-0.43,-0.4,0.44,-1.04,-0.15,-0.28,-0.32,0.16
LOXL1,0.08,0.02,-0.75,-0.37,-0.94,-0.69,0.3,0.42,-0.21,-0.26,0.16
LUZP4,-0.37,0.18,0.42,0.07,-0.05,0.24,-0.28,0.02,0.08,0,0.16
MAML1,-0.39,0.46,-0.58,-0.43,0.05,0.08,-0.25,-0.55,-0.17,-0.22,0.16
MBL2,-0.72,-0.49,-0.56,-0.53,-0.6,-0.56,-0.5,-0.72,-0.59,-0.58,0.16
MEGF11,-0.72,0.14,-0.83,-0.23,-0.38,-0.31,-1.06,-0.4,-0.47,-0.48,0.16
MICU3,-0.59,-0.94,-0.8,-0.83,-0.96,-0.91,-0.95,-0.08,-0.78,-0.75,0.16
MS4A1,0.61,0.44,0.71,0.4,0.63,0.49,0.37,0.34,0.59,0.45,0.16
MTERFD2,-0.45,0.29,-0.61,0.17,0.14,-0.1,-0.62,-1.05,-0.26,-0.29,0.16
MUC4,-1.01,0.03,-0.74,-1.03,0.03,-0.79,-0.83,-0.23,-0.58,-0.57,0.16
MYBPC3,0.81,-0.79,-0.58,-0.12,-0.29,-0.02,-0.29,-0.43,-0.18,-0.23,0.16
MYO1A,-0.1,-0.51,-1.18,-0.52,-0.59,-0.72,-0.34,-0.77,-0.6,-0.59,0.16
MYO3B,-0.79,-0.88,-1.68,-0.75,-0.93,-0.99,-1.44,-1.1,-1.12,-1.04,0.16
NRD1,0.72,-0.06,-1.09,-0.65,0.08,-0.1,-0.15,-0.17,-0.15,-0.2,0.16
NUDT9,-0.35,-0.24,-0.48,-0.83,-0.21,0.99,-0.93,-0.93,-0.36,-0.38,0.16
OR2F2,-1,-0.79,-0.3,-0.25,-0.56,-0.64,-1.22,-0.7,-0.69,-0.67,0.16
OR4N5,0.03,0.18,0.36,0.05,0.32,0.21,-0.07,-0.02,0.19,0.1,0.16
OSM,-0.42,-0.14,-0.61,-0.36,-0.7,-0.6,0.18,-0.56,-0.39,-0.41,0.16
PAX6,-1.16,-0.79,-0.15,-1.14,-0.56,-1.07,-0.57,-0.08,-0.7,-0.68,0.16
PIEZO2,-0.97,-0.75,-1.03,-0.87,-1.05,-0.78,-0.97,-0.66,-0.91,-0.87,0.16
PLEKHH1,-0.64,0.78,-0.02,-0.48,1.15,0.23,-0.44,-0.64,0.04,-0.04,0.16
PPP1R12C,0.94,-0.03,-0.6,0.15,0.22,-0.63,0,0.36,0.1,0.02,0.16
PRR3,-0.04,-0.69,-0.03,-0.3,-0.35,-0.4,-0.08,-0.34,-0.26,-0.29,0.16
PTPRO,-1.1,-0.83,-0.92,-0.88,-0.54,-0.76,-1.44,-0.88,-0.95,-0.9,0.16
RAB3C,0.46,0.23,0.51,0.11,0.15,0.13,0.43,0.57,0.4,0.28,0.16
RNF207,-1.08,-0.47,-1.47,-0.83,-0.68,-1.08,-1.12,-1.04,-1.01,-0.95,0.16
SCRIB,0.06,-0.5,0.27,-0.63,-0.18,-0.2,0.73,-0.3,-0.05,-0.12,0.16
SLC26A10,0.02,-0.38,-0.55,-0.28,-0.52,-0.77,-0.46,0.36,-0.3,-0.33,0.16
SLIT1,-0.49,-0.66,-0.43,-0.66,-0.66,-0.06,-1.11,-0.15,-0.52,-0.53,0.16
SPARCL1,-0.95,-0.51,-1.71,-0.49,-1.1,-0.89,-1.04,-1.43,-1.06,-0.99,0.16
SPINK4,0.48,-0.63,0.78,0.51,-0.39,0.26,0.39,-0.2,0.21,0.11,0.16
SPRY1,-0.13,-0.66,-0.96,-0.39,-0.49,-1.16,-0.59,-0.25,-0.58,-0.58,0.16
TAAR2,-0.15,-0.22,-0.38,-0.09,-0.26,-0.43,-0.33,-0.3,-0.25,-0.29,0.16
TAF1L,0.1,0.38,0.28,0.06,0.07,0.2,0.06,0.36,0.25,0.15,0.16
TOM1L2,-0.67,0.24,-0.95,-0.52,-0.47,0.17,-1.61,0.07,-0.46,-0.47,0.16
UNC119B,-0.92,0.34,1.91,-0.03,0.46,1.46,-0.01,-0.3,0.44,0.32,0.16
UTP3,1.09,2.46,3.05,1.97,1.72,2.29,1.93,1.32,2.2,1.85,0.16
VPS18,1.99,0.38,2.13,1.24,2.36,0.56,1.82,0.2,1.5,1.24,0.16
WFIKKN2,-0.51,-0.77,-0.42,-0.82,-0.77,-0.17,-0.8,-0.26,-0.57,-0.56,0.16
ZNF333,-0.14,-0.53,-0.81,-0.44,-0.55,-0.64,-0.16,-0.72,-0.5,-0.5,0.16
ZNF490,-0.6,-0.34,0.5,-0.16,-0.09,0.57,-0.69,-0.6,-0.15,-0.19,0.16
ZNF841,0.05,-0.03,-0.16,-0.06,-0.16,-0.27,-0.33,0.26,-0.05,-0.11,0.16
ZNF846,0.31,0.12,0.57,0.38,0,0.23,0.07,0.42,0.33,0.22,0.16
ACSL1,-0.68,-0.31,-0.62,-1.01,-0.25,-0.48,-1.14,0.22,-0.54,-0.53,0.15
AP1M2,-0.81,-0.78,-0.83,-0.77,-1.21,-0.3,-1.01,-0.54,-0.81,-0.77,0.15
APOM,-0.33,-1.09,-0.46,-0.4,-0.57,-0.78,-0.71,-0.61,-0.63,-0.61,0.15
C1orf51,-0.96,-0.48,-0.59,-0.84,-1.01,-0.15,-0.17,-1.11,-0.68,-0.66,0.15
C1QTNF5,-0.36,0.23,0.09,-0.53,0.32,0.04,-0.36,0.14,-0.02,-0.08,0.15
C2orf71,-0.93,-0.83,-0.55,-0.44,-0.63,-1.07,-1.7,0.17,-0.77,-0.73,0.15
C5orf38,-0.64,0.32,-0.6,-0.9,0.38,-0.73,0.21,-0.61,-0.31,-0.33,0.15
C9orf135,-0.08,-0.18,-0.76,-0.23,-0.54,-0.24,-0.37,-0.43,-0.34,-0.36,0.15
CACNB2,0,-0.73,-1.58,-0.25,-0.97,-0.72,-0.64,-1.09,-0.77,-0.74,0.15
CCDC13,-0.47,-0.41,-0.83,-0.58,-0.66,-0.45,-0.77,-0.35,-0.57,-0.56,0.15
CCNT2,0.3,-0.73,0.09,-0.15,-0.55,0.25,0.08,-0.45,-0.11,-0.16,0.15
CDCA3,2.34,0.04,2.12,2.29,1.3,1.85,0.29,0.48,1.5,1.24,0.15
CDKN1A,-0.32,-1.27,-1.47,-0.88,-1.31,-0.47,-0.6,-1.5,-1.02,-0.95,0.15
CHRAC1,0.66,0.63,-0.01,-0.1,0.62,0.21,-0.7,1.5,0.42,0.3,0.15
COL11A1,-0.47,-1.17,-0.63,-1.14,-1.07,-0.02,-0.37,-1.02,-0.76,-0.72,0.15
CTSL1,0.38,0.57,0.68,0.5,0.39,0.45,0.3,0.4,0.54,0.41,0.15
CXCR4,-1.1,-0.31,0.22,-0.53,-0.4,-0.68,0.14,-0.58,-0.4,-0.41,0.15
DAK,-0.13,-0.5,0.47,-0.49,0.36,-0.56,0.83,-0.71,-0.05,-0.11,0.15
